Consent,To what extent did you feel that there was clarity in your purpose for volunteering at Organization?,To what extent do you think that having clear consequences for missing key deadlines is important for keeping contributors engaged?,"How much did seeing the founder, working hard inspire you to contribute to Organization?",How much did seeing your team lead(s) working hard inspire you to contribute to Organization?,How did personalized thank-you messages from the founder and team leads affect your commitment to Organization? [Not at all],How much did Organization provide opportunities for you to grow as a professional?,"How much did opportunities for career advancement (e.g. mentorship, networking) affect your engagement with Organization? [Not at all]",How much did having a respected job title impact your sense of value at Organization?,"Considering your overall experience with Organization, how motivated do you feel to contribute to similar organizations or projects in the future?"
I agree and wish to participate,5,3,5,3,5,3,4,3,5
I agree and wish to participate,5,5,5,5,4,4,4,5,5
I agree and wish to participate,5,5,5,5,5,5,5,5,5
I agree and wish to participate,5,4,5,2,5,4,3,5,5
I agree and wish to participate,4,1,4,4,5,4,5,3,5
I agree and wish to participate,4,4,5,5,N/A,4,1,5,5
I agree and wish to participate,5,1,5,4,5,1,1,5,4
I agree and wish to participate,4,3,5,5,3,4,3,4,5
I agree and wish to participate,4,5,5,5,4,5,5,4,5
I agree and wish to participate,5,4,3,3,3,3,3,3,3
I agree and wish to participate,5,4,4,5,4,4,5,4,4
I agree and wish to participate,4,4,5,4,5,5,5,4,4
I agree and wish to participate,4,5,4,4,3,4,5,4,4
I agree and wish to participate,4,5,4,4,4,5,5,5,5
I agree and wish to participate,4,5,5,4,5,5,4,5,5
I agree and wish to participate,5,5,5,5,5,5,5,5,5
I agree and wish to participate,5,5,5,5,5,5,5,5,5
I agree and wish to participate,5,4,5,5,5,4,5,5,5
I agree and wish to participate,5,3,1,1,4,3,5,1,4
I agree and wish to participate,4,4,4,3,3,4,3,4,4
I agree and wish to participate,4,5,4,5,3,5,3,3,5
I agree and wish to participate,3,3,1,4,1,3,4,1,4
I am/was not a Organization volunteer and thus not eligible for this study,5,5,5,5,5,5,5,5,5
I agree and wish to participate,5,4,5,5,N/A,4,N/A,4,4
I agree and wish to participate,4,4,3,3,N/A,3,N/A,3,3
I agree and wish to participate,4,4,3,4,3,5,2,3,4
I agree and wish to participate,4,5,5,5,5,5,5,3,5
I agree and wish to participate,5,5,5,5,5,5,4,4,5
